time,edge_ms,fog_ms,cloud_ms,avg_weighted_ms
280.0,3.0,16.5,250.0,43.26
281.0,3.0,16.7,250.0,66.34
282.0,3.0,16.8,250.0,46.77
283.0,3.0,16.8,250.0,47.89
284.0,3.0,16.9,250.0,46.85
285.0,3.0,16.7,250.0,41.08
286.0,3.0,16.8,250.0,41.6
287.0,3.0,16.5,250.0,41.68
288.0,3.0,16.6,250.0,42.13
289.0,3.0,16.6,250.0,27.9
290.0,3.0,16.6,250.0,35.04
291.0,3.0,16.6,250.0,34.23
292.0,3.0,16.9,250.0,47.6
293.0,3.0,16.8,250.0,48.98
294.0,3.0,16.5,250.0,36.66
295.0,3.0,16.6,250.0,48.66
296.0,3.0,16.4,250.0,54.66
297.0,3.0,16.4,250.0,59.83
298.0,3.0,16.0,250.0,65.49
299.0,3.0,16.3,250.0,59.3
300.0,3.0,16.4,250.0,59.38
301.0,3.0,16.3,250.0,57.2
302.0,3.0,16.0,250.0,51.27
303.0,3.0,16.2,250.0,34.12
304.0,3.0,16.0,250.0,54.73
305.0,3.0,15.9,250.0,35.35
306.0,3.0,16.1,250.0,35.51
307.0,3.0,16.0,250.0,36.59
308.0,3.0,15.9,250.0,42.76
309.0,3.0,15.9,250.0,43.15
310.0,3.0,16.0,250.0,35.33
311.0,3.0,16.1,250.0,36.99
312.0,3.0,16.1,250.0,29.19
313.0,3.0,16.0,250.0,29.5
314.0,3.0,16.0,250.0,28.31
315.0,3.0,16.1,250.0,22.54
316.0,3.0,16.0,250.0,38.28
317.0,3.0,16.2,250.0,37.18
318.0,3.0,16.1,250.0,45.42
