time,energy_per_task_mJ,local_component_mJ,fog_component_mJ,cloud_component_mJ
309.0,134.4,14.5,98.1,21.8
310.0,180.0,76.0,87.2,16.8
311.0,132.9,15.0,101.1,16.8
312.0,154.4,45.5,97.6,11.3
313.0,142.9,30.5,101.1,11.3
314.0,191.9,94.0,86.2,11.7
315.0,141.5,31.5,104.3,5.7
316.0,134.1,16.0,100.2,17.9
317.0,171.5,64.5,89.0,17.9
318.0,149.1,32.5,92.7,23.9
