time,edge_ms,fog_ms,cloud_ms,avg_weighted_ms
234.0,5.0,0.0,130.0,66.17
235.0,5.0,0.0,130.0,66.22
236.0,5.0,0.0,130.0,66.22
237.0,5.0,0.0,130.0,66.22
238.0,5.0,0.0,130.0,67.5
239.0,5.0,0.0,130.0,67.5
240.0,5.0,0.0,130.0,67.5
241.0,5.0,0.0,130.0,68.73
242.0,5.0,0.0,130.0,67.5
243.0,5.0,0.0,130.0,67.5
244.0,5.0,0.0,130.0,66.27
245.0,5.0,0.0,130.0,66.27
246.0,5.0,0.0,130.0,66.32
247.0,5.0,0.0,130.0,67.5
248.0,5.0,0.0,130.0,68.68
249.0,5.0,0.0,130.0,67.5
250.0,5.0,0.0,130.0,65.0
251.0,5.0,0.0,130.0,66.22
252.0,5.0,0.0,130.0,67.5
253.0,5.0,0.0,130.0,66.22
254.0,5.0,0.0,130.0,66.17
255.0,5.0,0.0,130.0,67.5
256.0,5.0,0.0,130.0,66.11
257.0,5.0,0.0,130.0,67.5
258.0,5.0,0.0,130.0,67.5
259.0,5.0,0.0,130.0,66.11
260.0,5.0,0.0,130.0,66.11
261.0,5.0,0.0,130.0,67.5
262.0,5.0,0.0,130.0,67.5
263.0,5.0,0.0,130.0,67.5
264.0,5.0,0.0,130.0,67.5
265.0,5.0,0.0,130.0,68.83
266.0,5.0,0.0,130.0,67.5
267.0,5.0,0.0,130.0,67.5
268.0,5.0,0.0,130.0,67.5
269.0,5.0,0.0,130.0,67.5
270.0,5.0,0.0,130.0,67.5
271.0,5.0,0.0,130.0,67.5
272.0,5.0,0.0,130.0,67.5
273.0,5.0,0.0,130.0,67.5
274.0,5.0,0.0,130.0,67.5
275.0,5.0,0.0,130.0,67.5
276.0,5.0,0.0,130.0,67.5
277.0,5.0,0.0,130.0,67.5
278.0,5.0,0.0,130.0,67.5
279.0,5.0,0.0,130.0,67.5
280.0,5.0,0.0,130.0,67.5
281.0,5.0,0.0,130.0,67.5
282.0,5.0,0.0,130.0,67.5
283.0,5.0,0.0,130.0,67.5
284.0,5.0,0.0,130.0,67.5
285.0,5.0,0.0,130.0,67.5
286.0,5.0,0.0,130.0,67.5
287.0,5.0,0.0,130.0,67.5
288.0,5.0,0.0,130.0,66.36
289.0,5.0,0.0,130.0,66.51
290.0,5.0,0.0,130.0,68.49
291.0,5.0,0.0,130.0,65.48
292.0,5.0,0.0,130.0,67.5
293.0,5.0,0.0,130.0,69.66
294.0,5.0,0.0,130.0,69.66
295.0,5.0,0.0,130.0,69.66
296.0,5.0,0.0,130.0,69.66
297.0,5.0,0.0,130.0,68.6
298.0,5.0,0.0,130.0,68.6
299.0,5.0,0.0,130.0,67.5
300.0,5.0,0.0,130.0,67.5
301.0,5.0,0.0,130.0,67.5
302.0,5.0,0.0,130.0,66.32
303.0,5.0,0.0,130.0,66.32
304.0,5.0,0.0,130.0,65.0
305.0,5.0,0.0,130.0,64.9
306.0,5.0,0.0,130.0,67.5
307.0,5.0,0.0,130.0,66.11
308.0,5.0,0.0,130.0,66.05
309.0,5.0,0.0,130.0,65.98
310.0,5.0,0.0,130.0,69.1
311.0,5.0,0.0,130.0,70.79
312.0,5.0,0.0,130.0,69.19
313.0,5.0,0.0,130.0,69.19
314.0,5.0,0.0,130.0,69.19
315.0,5.0,0.0,130.0,67.5
316.0,5.0,0.0,130.0,69.39
317.0,5.0,0.0,130.0,69.39
318.0,5.0,0.0,130.0,69.39
319.0,5.0,0.0,130.0,69.39
320.0,5.0,0.0,130.0,69.39
321.0,5.0,0.0,130.0,69.39
322.0,5.0,0.0,130.0,69.39
323.0,5.0,0.0,130.0,69.39
324.0,5.0,0.0,130.0,69.39
325.0,5.0,0.0,130.0,69.39
326.0,5.0,0.0,130.0,69.39
327.0,5.0,0.0,130.0,67.5
328.0,5.0,0.0,130.0,67.5
329.0,5.0,0.0,130.0,67.5
330.0,5.0,0.0,130.0,67.5
331.0,5.0,0.0,130.0,67.5
332.0,5.0,0.0,130.0,65.48
333.0,5.0,0.0,130.0,65.48
334.0,5.0,0.0,130.0,67.5
335.0,5.0,0.0,130.0,67.5
336.0,5.0,0.0,130.0,67.5
337.0,5.0,0.0,130.0,65.19
338.0,5.0,0.0,130.0,65.19
339.0,5.0,0.0,130.0,70.0
340.0,5.0,0.0,130.0,70.0
341.0,5.0,0.0,130.0,67.5
342.0,5.0,0.0,130.0,67.5
343.0,5.0,0.0,130.0,67.5
344.0,5.0,0.0,130.0,61.25
345.0,5.0,0.0,130.0,61.25
346.0,5.0,0.0,130.0,60.56
347.0,5.0,0.0,130.0,63.82
348.0,5.0,0.0,130.0,63.82
349.0,5.0,0.0,130.0,63.33
350.0,5.0,0.0,130.0,63.33
351.0,5.0,0.0,130.0,63.33
352.0,5.0,0.0,130.0,67.5
353.0,5.0,0.0,130.0,67.5
354.0,5.0,0.0,130.0,67.5
355.0,5.0,0.0,130.0,67.5
356.0,5.0,0.0,130.0,67.5
357.0,5.0,0.0,130.0,67.5
358.0,5.0,0.0,130.0,67.5
359.0,5.0,0.0,130.0,67.5
360.0,5.0,0.0,130.0,67.5
361.0,5.0,0.0,130.0,67.5
362.0,5.0,0.0,130.0,67.5
363.0,5.0,0.0,130.0,67.5
364.0,5.0,0.0,130.0,67.5
365.0,5.0,0.0,130.0,67.5
