time,RSU_J1,RSU_J2,RSU_J3,RSU_J4,max_congestion_pct
323.0,73.3,10.0,0.0,26.7,73.3
324.0,73.3,10.0,0.0,26.7,73.3
325.0,73.3,10.0,0.0,26.7,73.3
326.0,73.3,10.0,0.0,26.7,73.3
327.0,70.0,6.7,3.3,26.7,70.0
328.0,66.7,10.0,3.3,26.7,66.7
329.0,66.7,10.0,3.3,26.7,66.7
330.0,63.3,13.3,3.3,26.7,63.3
331.0,63.3,13.3,3.3,26.7,63.3
332.0,56.7,13.3,10.0,23.3,56.7
333.0,56.7,13.3,10.0,23.3,56.7
334.0,50.0,13.3,16.7,20.0,50.0
335.0,46.7,16.7,16.7,20.0,46.7
336.0,40.0,16.7,20.0,16.7,40.0
337.0,36.7,16.7,20.0,16.7,36.7
338.0,33.3,20.0,20.0,16.7,33.3
339.0,30.0,20.0,20.0,13.3,30.0
340.0,30.0,20.0,20.0,13.3,30.0
341.0,26.7,20.0,20.0,13.3,26.7
342.0,23.3,20.0,20.0,10.0,23.3
343.0,23.3,20.0,20.0,10.0,23.3
344.0,16.7,20.0,20.0,10.0,20.0
345.0,16.7,20.0,20.0,10.0,20.0
346.0,10.0,20.0,20.0,10.0,20.0
347.0,6.7,20.0,20.0,10.0,20.0
348.0,6.7,20.0,20.0,10.0,20.0
349.0,6.7,20.0,20.0,3.3,20.0
350.0,6.7,20.0,20.0,3.3,20.0
351.0,6.7,20.0,20.0,3.3,20.0
352.0,6.7,20.0,20.0,0.0,20.0
353.0,6.7,20.0,20.0,0.0,20.0
354.0,6.7,20.0,20.0,0.0,20.0
355.0,6.7,20.0,20.0,0.0,20.0
356.0,6.7,20.0,20.0,0.0,20.0
357.0,6.7,20.0,20.0,0.0,20.0
358.0,6.7,20.0,20.0,0.0,20.0
359.0,6.7,20.0,20.0,0.0,20.0
360.0,6.7,20.0,20.0,0.0,20.0
361.0,6.7,20.0,20.0,0.0,20.0
362.0,6.7,20.0,20.0,0.0,20.0
363.0,6.7,20.0,20.0,0.0,20.0
364.0,6.7,20.0,20.0,0.0,20.0
365.0,6.7,20.0,20.0,0.0,20.0
